WORD,MEANING,AoAtestbased,AoArating,LWV,CDI,Morr,Floc
abomination,feeling of disgust,14,11.2,16,#N/A,#N/A,#N/A
aboriginal,native,14,14.8,16,#N/A,#N/A,#N/A
aborigines,original inhabitants,12,12.6,12,#N/A,#N/A,#N/A
abort,to cut short a mission,12,11.2,12,#N/A,#N/A,#N/A
abort,to lose unborn child,12,11.2,12,#N/A,#N/A,#N/A
abortion,remove unborn child,8,13.2,8,#N/A,#N/A,#N/A
abortion,complete failure,14,13.2,16,#N/A,#N/A,#N/A
abortive,unsuccessful,14,13.9,16,#N/A,#N/A,#N/A
abortive,too early,14,13.9,16,#N/A,#N/A,#N/A
abound,full of,12,11.7,12,#N/A,#N/A,#N/A
abound,to be plentiful,14,11.7,16,#N/A,#N/A,#N/A
about,tells of,2,5.3,4,#N/A,#N/A,#N/A
about,around,2,5.3,4,#N/A,#N/A,#N/A
about,somewhere around,2,5.3,4,#N/A,#N/A,#N/A
about,almost,2,5.3,4,#N/A,#N/A,#N/A
about,on the point of,2,5.3,4,#N/A,#N/A,#N/A
about,turn completely around,4,5.3,4,#N/A,#N/A,#N/A
about,reversed,8,5.3,8,#N/A,#N/A,#N/A
about,on the person of,13,5.3,13,#N/A,#N/A,#N/A
about face,turn completely around,6,,6,#N/A,#N/A,#N/A
about face,a change in attitude,13,,13,#N/A,#N/A,#N/A
about to,ready to,4,,4,#N/A,#N/A,#N/A
above,over and beyond,2,4.8,4,#N/A,#N/A,#N/A
above,more than,2,4.8,4,#N/A,#N/A,#N/A
above,"higher than, overhead",2,4.8,4,#N/A,#N/A,#N/A
above,better than,4,4.8,4,#N/A,#N/A,#N/A
above,just written,8,4.8,8,#N/A,#N/A,#N/A
above stealing,too good to rob,12,,12,#N/A,#N/A,#N/A
aboveboard,in open sight,13,13.0,13,#N/A,#N/A,#N/A
abracadabra,magic,10,6.9,10,#N/A,#N/A,#N/A
abrade,rub away,14,14.0,16,#N/A,#N/A,#N/A
abrasion,wearing away,14,12.0,16,#N/A,#N/A,#N/A
abrasive,scratchy material,12,12.2,12,#N/A,#N/A,#N/A
abreaction,emotional,14,15.8,16,#N/A,#N/A,#N/A
abreast,side by side,13,12.9,13,#N/A,#N/A,#N/A
abridge,shorten,12,14.4,12,#N/A,#N/A,#N/A
abridgment,shortened book,10,,10,#N/A,#N/A,#N/A
abroad,outside country,4,8.7,4,#N/A,#N/A,#N/A
abroad,in circulation,13,8.7,13,#N/A,#N/A,#N/A
abrogate,abolish,14,15.2,16,#N/A,#N/A,#N/A
abrupt,sudden and blunt,8,10.8,8,#N/A,#N/A,7
abruption,a sudden breaking off,14,11.8,16,#N/A,#N/A,#N/A
abscess,wound with pus,8,11.8,8,#N/A,#N/A,#N/A
abscind,to cut apart,12,,12,#N/A,#N/A,#N/A
abscissa,horizontal coordinate,14,,16,#N/A,#N/A,#N/A
abscond,run away and hide,14,13.4,16,#N/A,#N/A,#N/A
absence,being away,4,7.9,4,#N/A,#N/A,#N/A
absence,not having something,6,7.9,6,#N/A,#N/A,#N/A
absent,not here,2,6.7,4,#N/A,#N/A,#N/A
absentee,person not present,6,11.0,6,#N/A,#N/A,#N/A
absently,with attention elsewhere,10,,10,#N/A,#N/A,#N/A
absent-minded,forgetful,4,,4,#N/A,#N/A,#N/A
absinthe,strong alcoholic beverage,14,16.3,16,#N/A,#N/A,#N/A
absolute,complete,8,8.5,8,#N/A,#N/A,#N/A
absolute,"certain, positive",10,8.5,10,#N/A,#N/A,#N/A
absolute zero,complete absence of heat,10,,10,#N/A,#N/A,#N/A
absolutely,completely,6,8.2,6,#N/A,#N/A,#N/A
absolution,forgiveness,14,11.8,16,#N/A,#N/A,#N/A
absolutism,unlimited power,12,,12,#N/A,#N/A,#N/A
absolve,forgive,14,11.8,16,#N/A,#N/A,#N/A
absorb,take all one's time,6,9.1,6,#N/A,#N/A,3
absorb,take in,6,9.1,6,#N/A,#N/A,3
absorbed,deeply interested,6,9.1,6,#N/A,#N/A,#N/A
absorbent,able to soak up,6,10.3,6,#N/A,#N/A,#N/A
absorbing,very interesting,6,9.1,6,#N/A,#N/A,#N/A
absorption,soaking up,6,10.9,6,#N/A,#N/A,#N/A
absorption,taking into blood stream,8,10.9,8,#N/A,#N/A,#N/A
absorption,great interest,14,10.9,16,#N/A,#N/A,#N/A
abstain,refrain from,12,12.0,12,#N/A,#N/A,#N/A
abstemious,sparing,14,,16,#N/A,#N/A,#N/A
abstention,holding off,13,15.2,13,#N/A,#N/A,#N/A
abstinence,refraining from,14,12.7,16,#N/A,#N/A,#N/A
abstract,hard to understand,8,11.0,8,#N/A,#N/A,#N/A
abstract,give main points,12,11.0,12,#N/A,#N/A,#N/A
abstract,opposite of concrete,12,11.0,12,#N/A,#N/A,#N/A
abstract,to separate,13,11.0,13,#N/A,#N/A,#N/A
abstract,brief statement,14,11.0,16,#N/A,#N/A,#N/A
abstracted,absent-minded,14,,16,#N/A,#N/A,#N/A
abstractedly,unattentively,13,,13,#N/A,#N/A,#N/A
abstraction,general idea,12,13.7,12,#N/A,#N/A,#N/A
abstractionism,modern art style,14,,16,#N/A,#N/A,#N/A
abstruse,hard to understand,13,14.6,13,#N/A,#N/A,#N/A
absurd,foolish,8,10.5,8,#N/A,#N/A,5
absurdity,foolishness,10,13.2,10,#N/A,#N/A,#N/A
abuilding,being constructed,13,,13,#N/A,#N/A,#N/A
abundance,plenty,8,10.3,8,#N/A,#N/A,#N/A
abundant,more than enough,8,12.8,8,#N/A,#N/A,6
abundantly,in plenty,8,,8,#N/A,#N/A,#N/A
abuse,put to wrong use,6,9.2,6,#N/A,#N/A,5
abuse,treat badly,6,9.2,6,#N/A,#N/A,5
abusive,insulting,8,9.6,8,#N/A,#N/A,#N/A
abusive,hurtful,10,9.6,10,#N/A,#N/A,#N/A
abut,to touch end to end,14,13.1,16,#N/A,#N/A,#N/A
abutment,bridge support,14,15.3,16,#N/A,#N/A,#N/A
abuzz,filled with noise of activity,10,13.0,10,#N/A,#N/A,#N/A
abysm,deep pit,14,15.3,16,#N/A,#N/A,#N/A
abysmal,deep,14,13.8,16,#N/A,#N/A,#N/A
abyss,deep empty space,12,11.5,12,#N/A,#N/A,#N/A
acacia,thorny tree,14,14.3,16,#N/A,#N/A,#N/A
academe,"scholars, in general",12,13.3,12,#N/A,#N/A,#N/A
academic,pertaining to school,10,9.7,10,#N/A,#N/A,#N/A
academic,"theoretical, not practical",12,9.7,12,#N/A,#N/A,#N/A
academician,scholar,10,15.2,10,#N/A,#N/A,#N/A
academy,upper school,6,9.1,6,#N/A,#N/A,#N/A
acanthus,thistlelike plant,12,15.2,12,#N/A,#N/A,#N/A
acanthus,architectural ornament,14,15.2,16,#N/A,#N/A,#N/A
acarology,study of ticks and mites,14,,16,#N/A,#N/A,#N/A
acaudal,without a tail,13,,13,#N/A,#N/A,#N/A
accede,agree,14,14.3,16,#N/A,#N/A,#N/A
accelerate,go faster,6,10.7,6,#N/A,#N/A,7
acceleration,increased speed,6,10.2,6,#N/A,#N/A,#N/A
accelerator,gas pedal,6,10.3,6,#N/A,#N/A,#N/A
accelerator,speeds things up,6,10.3,6,#N/A,#N/A,#N/A
accelerator,device used in nuclear physics,12,10.3,12,#N/A,#N/A,#N/A
accent,say with more force,6,8.4,6,#N/A,#N/A,#N/A
accent,way of speaking,6,8.4,6,#N/A,#N/A,#N/A
accent,a distinguishing mark,6,8.4,6,#N/A,#N/A,#N/A
accent,a pronunciation mark,10,8.4,10,#N/A,#N/A,#N/A
accent,distinguishing touch,10,8.4,10,#N/A,#N/A,#N/A
accentuate,emphasize,12,13.2,12,#N/A,#N/A,#N/A
accept,agree to,2,7.3,4,#N/A,#N/A,#N/A
accept,take willingly,4,7.3,4,#N/A,#N/A,#N/A
acceptable,pleasing,8,9.8,8,#N/A,#N/A,#N/A
acceptance,the taking of,8,8.6,8,#N/A,#N/A,#N/A
acceptation,usual meaning,14,,16,#N/A,#N/A,#N/A
acceptation,favorable regard,14,,16,#N/A,#N/A,#N/A
access,right to use,10,9.3,10,#N/A,#N/A,5
access,way of approach,10,9.3,10,#N/A,#N/A,5
access,fit or attack,14,9.3,16,#N/A,#N/A,5
accessible,easy to reach,10,9.9,10,#N/A,#N/A,#N/A
accession,increase,14,12.3,16,#N/A,#N/A,#N/A
accession,attaining,14,12.3,16,#N/A,#N/A,#N/A
accessory,added equipment,6,11.2,6,#N/A,#N/A,#N/A
accessory,helper to lawbreaker,8,11.2,8,#N/A,#N/A,#N/A
acciaccatura,grace note,14,,16,#N/A,#N/A,#N/A
accidence,inflection,14,,16,#N/A,#N/A,#N/A
accident,unplanned happening,2,6.0,4,#N/A,#N/A,#N/A
accident,unexpected injury,4,6.0,4,#N/A,#N/A,#N/A
accidental,not planned,4,6.8,4,#N/A,#N/A,#N/A
accipiter,short-winged hawk,14,,16,#N/A,#N/A,#N/A
acclaim,show approval of,13,12.1,13,#N/A,#N/A,7
acclamation,show of approval,13,14.0,13,#N/A,#N/A,#N/A
acclimated,conditioned,12,,12,#N/A,#N/A,#N/A
acclimated,accustomed,13,,13,#N/A,#N/A,#N/A
acclimatize,get used to,14,14.0,16,#N/A,#N/A,#N/A
acclivity,upward slope,13,,13,#N/A,#N/A,#N/A
accolade,honor,14,12.4,16,#N/A,#N/A,#N/A
accommodate,help out,6,9.9,6,#N/A,#N/A,6
accommodate,be suitable for,10,9.9,10,#N/A,#N/A,6
accommodating,helpful,10,9.9,10,#N/A,#N/A,#N/A
accommodation,hotel room,8,10.1,8,#N/A,#N/A,#N/A
accommodation,helping,12,10.1,12,#N/A,#N/A,#N/A
accommodation,mutual adaptation,14,10.1,16,#N/A,#N/A,#N/A
accompaniment,music played along,8,11.2,8,#N/A,#N/A,#N/A
accompanist,plays along,6,12.8,6,#N/A,#N/A,#N/A
accompany,go with,6,10.8,6,#N/A,#N/A,#N/A
accomplice,helper in crime,8,9.8,8,#N/A,#N/A,#N/A
accomplish,get done,6,7.8,6,#N/A,#N/A,5
accomplished,skilled,6,7.8,6,#N/A,#N/A,#N/A
accomplishment,something done,6,9.0,6,#N/A,#N/A,#N/A
accord,agreement,10,10.5,10,#N/A,#N/A,8
accord,to give,12,10.5,12,#N/A,#N/A,8
accord,agree,12,10.5,12,#N/A,#N/A,8
accordance,agreement,8,10.7,8,#N/A,#N/A,#N/A
according,agreeing with,10,9.2,10,#N/A,#N/A,#N/A
according to,from the viewpoint of,6,,6,#N/A,#N/A,#N/A
according to,as reported by,8,,8,#N/A,#N/A,#N/A
accordingly,for that reason,12,,12,#N/A,#N/A,#N/A
accordion,musical instrument,4,8.6,4,#N/A,#N/A,#N/A
accost,stop and speak to,12,13.4,12,#N/A,#N/A,#N/A
accost,solicit for immoral purposes,14,13.4,16,#N/A,#N/A,#N/A
accouchement,delivery in childbed,14,,16,#N/A,#N/A,#N/A
account,money in bank,2,9.1,4,#N/A,#N/A,#N/A
account,business record,2,9.1,4,#N/A,#N/A,#N/A
account,make a report,6,9.1,6,#N/A,#N/A,#N/A
account,value or worth,8,9.1,8,#N/A,#N/A,#N/A
account,to consider,12,9.1,12,#N/A,#N/A,#N/A
account,story,12,9.1,12,#N/A,#N/A,#N/A
account for,explain,8,,8,#N/A,#N/A,#N/A
account for,to amount to,8,,8,#N/A,#N/A,#N/A
account for,to make up,12,,12,#N/A,#N/A,#N/A
account for,to answer for,13,,13,#N/A,#N/A,#N/A
accountability,being responsible,12,12.2,12,#N/A,#N/A,#N/A
accountable,responsible,6,11.7,6,#N/A,#N/A,#N/A
accountancy,financial records,8,14.8,8,#N/A,#N/A,#N/A
accountant,keeps money record,4,10.8,4,#N/A,#N/A,#N/A
accounting,keeping track of,6,12.1,6,#N/A,#N/A,#N/A
accouter,to equip,14,,16,#N/A,#N/A,#N/A
accouterments,equipment,14,,16,#N/A,#N/A,#N/A
accredit,to accept as valid,12,,12,#N/A,#N/A,#N/A
accredited,accepted as valid,12,13.9,12,#N/A,#N/A,#N/A
accredited,officially approved,12,13.9,12,#N/A,#N/A,#N/A
accrete,to grow by accumulation,12,14.0,12,#N/A,#N/A,#N/A
accretion,natural increase,12,,12,#N/A,#N/A,#N/A
accretion,gradual increase,14,,16,#N/A,#N/A,#N/A
accrual,accumulation,14,15.0,16,#N/A,#N/A,#N/A
accrue,be added to,14,14.1,16,#N/A,#N/A,#N/A
acculturate,to adopt a different culture,14,,16,#N/A,#N/A,#N/A
accumulate,pile up,6,12.3,6,#N/A,#N/A,6
accumulation,a gathering together,8,10.5,8,#N/A,#N/A,#N/A
accumulator,stores fluid under pressure,12,13.9,12,#N/A,#N/A,#N/A
accumulator,a storage battery,14,13.9,16,#N/A,#N/A,#N/A
accuracy,exactness,8,9.7,8,#N/A,#N/A,#N/A
accurate,correct,8,9.4,8,#N/A,#N/A,4
accursed,hateful,8,12.7,8,#N/A,#N/A,#N/A
accursed,doomed by evil,10,12.7,10,#N/A,#N/A,#N/A
accusation,charge of wrongdoing,8,10.2,8,#N/A,#N/A,#N/A
accusative,grammatical term,14,13.3,16,#N/A,#N/A,#N/A
accusative,direct object case,14,13.3,16,#N/A,#N/A,#N/A
accuse,blame,4,8.5,4,#N/A,#N/A,3
accuser,blames another,4,10.9,4,#N/A,#N/A,#N/A
accustom,get used to,4,12.0,4,#N/A,#N/A,#N/A
accustomed,usual,4,,4,#N/A,#N/A,#N/A
ace,highest card,6,8.5,6,#N/A,#N/A,#N/A
ace,champion,10,8.5,10,#N/A,#N/A,#N/A
ace,superior combat pilot,10,8.5,10,#N/A,#N/A,#N/A
acentric,not on center,14,,16,#N/A,#N/A,#N/A
acephalous,without a head,14,,16,#N/A,#N/A,#N/A
acerb,"sour, bitter",14,15.7,16,#N/A,#N/A,#N/A
acerbate,"make sour, bitter",14,,16,#N/A,#N/A,#N/A
acerbity,bitterness,14,15.8,16,#N/A,#N/A,#N/A
acetaldehyde,a solvent,14,,16,#N/A,#N/A,#N/A
acetanilide,pain-killing drug,12,,12,#N/A,#N/A,#N/A
acetate,acid salt,13,12.9,13,#N/A,#N/A,#N/A
acetic,vinegary,13,13.8,13,#N/A,#N/A,#N/A
acetone,volatile liquid,13,14.1,13,#N/A,#N/A,#N/A
acetylene,welding gas,12,16.9,12,#N/A,#N/A,#N/A
ach,oh!,6,,6,#N/A,#N/A,#N/A
ache,to hurt,2,6.5,4,#N/A,#N/A,1
ache,steady pain,4,6.5,4,#N/A,#N/A,1
ache,long for,10,6.5,10,#N/A,#N/A,1
achene,small hard fruit,12,,12,#N/A,#N/A,#N/A
achieve,gain by effort,4,8.5,4,#N/A,#N/A,#N/A
achievement,successfully done,6,8.6,6,#N/A,#N/A,5
Achilles' heel,weak spot,10,,10,#N/A,#N/A,#N/A
achoo,sneezing sound,2,,4,#N/A,#N/A,#N/A
achromatic,colorless,14,,16,#N/A,#N/A,#N/A
Achtung!,attention!,12,,12,#N/A,#N/A,#N/A
achy,full of pain,4,8.1,4,#N/A,#N/A,#N/A
acid,chemical term,2,9.4,4,#N/A,#N/A,#N/A
acid,eat things away,4,9.4,4,#N/A,#N/A,#N/A
acid,LSD,10,9.4,10,#N/A,#N/A,#N/A
acid,sour substance,12,9.4,12,#N/A,#N/A,#N/A
acid,sour,14,9.4,16,#N/A,#N/A,#N/A
acid taste,like lemon,10,,10,#N/A,#N/A,#N/A
acid test,a thorough test of quality,14,,16,#N/A,#N/A,#N/A
acidity,sourness,12,12.5,12,#N/A,#N/A,#N/A
acidophilus,a fermented milk,14,17.4,16,#N/A,#N/A,#N/A
acidosis,a harmful blood condition,12,16.9,12,#N/A,#N/A,#N/A
acidulate,make sour,12,,12,#N/A,#N/A,#N/A
ack-ack,anti-aircraft fire,8,,8,#N/A,#N/A,#N/A
ackee,a tropical tree,12,,12,#N/A,#N/A,#N/A
acknowledge,admit to be true,8,9.2,8,#N/A,#N/A,7
acknowledge,express thank for,10,9.2,10,#N/A,#N/A,7
acknowledgment,recognition,10,10.0,10,#N/A,#N/A,#N/A
acme,highest point,10,9.5,10,#N/A,#N/A,#N/A
acne,pimpled skin,6,10.6,6,#N/A,#N/A,#N/A
acolyte,priest's helper,14,13.8,16,#N/A,#N/A,#N/A
aconite,a poisonous plant,14,,16,#N/A,#N/A,#N/A
acorn,oak tree nut,2,6.6,4,#N/A,86.5,#N/A
acotyledon,plant without seed leaves,14,,16,#N/A,#N/A,#N/A
acoustic,relating to sound,10,12.4,10,#N/A,#N/A,#N/A
acoustic velocity,speed of sound,12,,12,#N/A,#N/A,#N/A
acoustics,factors influencing hearing,12,11.3,12,#N/A,#N/A,#N/A
acquaint,make familiar,6,9.1,6,#N/A,#N/A,#N/A
acquaintance,person you know,8,10.5,8,#N/A,#N/A,#N/A
acquainted,knowing personally,4,,4,#N/A,#N/A,#N/A
acquiesce,agree with,14,14.3,16,#N/A,#N/A,#N/A
acquiescence,silent agreement,14,13.6,16,#N/A,#N/A,#N/A
acquire,gain or obtain,6,10.1,6,#N/A,#N/A,7
acquirement,getting something,10,,10,#N/A,#N/A,#N/A
acquisition,getting for self,12,13.6,12,#N/A,#N/A,#N/A
acquisition,locating space target,14,13.6,16,#N/A,#N/A,#N/A
acquisitive,desiring gain,14,14.2,16,#N/A,#N/A,#N/A
acquit,to free from a charge,10,13.2,10,#N/A,#N/A,#N/A
acquit oneself,to behave,14,,16,#N/A,#N/A,#N/A
acquittal,declaring innocent,10,12.4,10,#N/A,#N/A,#N/A
acre,a measure of land,4,8.9,4,#N/A,#N/A,#N/A
acreage,amount of land,8,13.1,8,#N/A,#N/A,#N/A
acrid,biting,13,14.1,13,#N/A,#N/A,7
acrid,irritating in manner,14,14.1,16,#N/A,#N/A,7
Acrilan,"a synthetic fiber, t.m.",10,,10,#N/A,#N/A,#N/A
acrimonious,bitter in words,14,16.3,16,#N/A,#N/A,#N/A
acrimony,bitterness,14,14.8,16,#N/A,#N/A,#N/A
acrobat,does tumbling,4,8.1,4,#N/A,#N/A,#N/A
acrobatic,skilled in gym,2,9.4,4,#N/A,#N/A,#N/A
acrobatics,gymnastic stunts,6,9.0,6,#N/A,#N/A,#N/A
acromegaly,a pituitary disease,14,,16,#N/A,#N/A,#N/A
acronym,word made by initials,14,11.6,16,#N/A,#N/A,#N/A
acrophobe,fears height,12,,12,#N/A,#N/A,#N/A
acrophobia,fear of heights,14,14.4,16,#N/A,#N/A,#N/A
acropolis,fort on a hill,12,15.4,12,#N/A,#N/A,#N/A
Acropolis,Greek fort,12,15.4,12,#N/A,#N/A,#N/A
across,from one side to other,2,5.0,4,#N/A,#N/A,#N/A
acrostic,a kind of puzzle,14,14.8,16,#N/A,#N/A,#N/A
acrylic,a plastics resin,13,11.6,13,#N/A,#N/A,#N/A
act,the process of doing,2,6.0,4,#N/A,#N/A,3
act,behave in a certain way,2,6.0,4,#N/A,#N/A,3
act,what you do,2,6.0,4,#N/A,#N/A,3
act,part of a play,2,6.0,4,#N/A,#N/A,3
act,perform,2,6.0,4,#N/A,#N/A,3
act,law passed,6,6.0,6,#N/A,#N/A,3
act,have an effect,10,6.0,10,#N/A,#N/A,3
acted,had an effect,10,6.0,10,#N/A,#N/A,#N/A
ACTH,a hormone,14,,16,#N/A,#N/A,#N/A
acting,stage performing,2,6.0,4,#N/A,#N/A,#N/A
actinic,chemically active by radiation,14,15.6,16,#N/A,#N/A,#N/A
actinium,element like radium,14,,16,#N/A,#N/A,#N/A
action,movement,2,6.9,4,#N/A,#N/A,#N/A
action,doing something,4,6.9,4,#N/A,#N/A,#N/A
action,a legal proceeding,12,6.9,12,#N/A,#N/A,#N/A
actionable,grounds for a lawsuit,14,12.5,16,#N/A,#N/A,#N/A
activate,put into motion,6,11.1,6,#N/A,#N/A,#N/A
activate,to make active,8,11.1,8,#N/A,#N/A,#N/A
active,lively,4,7.2,4,#N/A,#N/A,3
active voice,a grammar term,13,,13,#N/A,#N/A,#N/A
activist,believer in vigorous action,12,11.8,12,#N/A,#N/A,#N/A
activity,a moving about,8,6.5,8,#N/A,#N/A,#N/A
actor,man in play,2,6.7,4,#N/A,#N/A,#N/A
actress,woman in play,2,6.5,4,#N/A,#N/A,#N/A
actual,real,4,7.5,4,#N/A,#N/A,3
actuality,reality,8,11.9,8,#N/A,#N/A,#N/A
actually,really,6,7.0,6,#N/A,#N/A,#N/A
actuary,insurance worker,14,17.3,16,#N/A,#N/A,#N/A
actuate,move to action,12,,12,#N/A,#N/A,#N/A
acuity,sharpness,13,13.9,13,#N/A,#N/A,#N/A
acumen,keen understanding,14,14.4,16,#N/A,#N/A,#N/A
acupuncture,pricking skin to cure or relieve pain,8,11.8,8,#N/A,#N/A,#N/A
acute,less than right angle,6,11.5,6,#N/A,#N/A,#N/A
acute,keen,10,11.5,10,#N/A,#N/A,#N/A
acute,severe,10,11.5,10,#N/A,#N/A,#N/A
acute accent,mark of emphasis,12,,12,#N/A,#N/A,#N/A
acuteness,sharpness,10,13.0,10,#N/A,#N/A,#N/A
ad,short for advertisement,6,7.8,6,#N/A,#N/A,#N/A
ad hoc,for this case alone,14,,16,#N/A,#N/A,#N/A
ad hominem,appeals to emotions,14,,16,#N/A,#N/A,#N/A
ad infinitum,without end,12,,12,#N/A,#N/A,#N/A
ad interim,in the meantime,14,,16,#N/A,#N/A,#N/A
ad lib,speak freely,10,,10,#N/A,#N/A,#N/A
